schema,table,description
refs_fishery,fad_raft_designs,
refs_fishery,fad_tail_designs,
refs_fishery,fish_preservation_methods,
refs_fishery,fish_processing_types,
refs_fishery,fish_storage_types,
refs_fishery,fisheries,
refs_fishery,float_types,
refs_fishery,fob_activity_types,
refs_fishery,fob_types,
refs_fishery,gear_types,
refs_fishery,gillnet_material_types,
refs_fishery,hook_types,
refs_fishery,hull_material_types,
refs_fishery,light_colours,
refs_fishery,light_types,
refs_fishery,line_material_types,
refs_fishery,mechanization_types,
refs_fishery,mitigation_devices,
refs_fishery,net_colours,
refs_fishery,net_conditions,
refs_fishery,net_configurations,
refs_fishery,net_deploy_depths,
refs_fishery,net_setting_strategies,
refs_fishery,offal_management_types,
refs_fishery,pole_material_types,
refs_fishery,reasons_days_lost,
refs_fishery,school_detection_methods,
refs_fishery,school_sighting_cues,
refs_fishery,school_type_categories,
refs_fishery,sinker_material_types,
refs_fishery,streamer_types,
refs_fishery,stunning_methods,
refs_fishery,surface_fishery_activities,
refs_fishery,transhipment_categories,
refs_fishery,vessel_architectures,
refs_fishery,vessel_sections,
refs_fishery,vessel_size_types,
refs_fishery,vessel_types,
refs_fishery,waste_categories,
refs_fishery,waste_disposal_methods,
refs_fishery,wind_scales,
refs_fishery_config,areas_of_operation,
refs_fishery_config,fishery_categories,
refs_fishery_config,fishery_types,
refs_fishery_config,fishery_types_bkp,
refs_fishery_config,fishery_types_new,
refs_fishery_config,fishing_modes,
refs_fishery_config,gear_configurations,
refs_fishery_config,gear_fishery_type_to_configuration,
refs_fishery_config,gear_fishery_type_to_configuration_bkp,
refs_fishery_config,gear_fishery_type_to_fishing_mode,
refs_fishery_config,gear_fishery_type_to_fishing_mode_bkp,
refs_fishery_config,gear_groups,
refs_fishery_config,gear_to_fishery_type,
refs_fishery_config,gear_to_fishery_type_bkp,
refs_fishery_config,gear_to_fishery_type_new,
refs_fishery_config,gear_to_target_species,
refs_fishery_config,gears,
refs_fishery_config,loa_classes,
refs_fishery_config,purposes,
refs_fishery_config,target_species,
refs_gis,area_intersections,
refs_gis,area_intersections_iotc,
refs_gis,area_types,
refs_gis,areas,
