schema,table,description
refs_fishery,hook_and_terminal_devices,"
[EN]
Reference code list describing hook types and other terminal capture devices used in hook-and-line fishing operations.

[FR]
Liste de référence décrivant les types d'hameçons et autres dispositifs terminaux de capture utilisés dans les opérations de pêche à l'hameçon et à la ligne.
"
refs_fishery,hull_material_types,"
[EN]
Reference code list describing the main hull construction materials used for fishing vessels.

[FR]
Liste de référence décrivant les principaux matériaux de construction de la coque des navires de pêche.
"
refs_fishery,light_colours,"
[EN]
Reference code list describing light colours used in fishing operations and mitigation devices.

[FR]
Liste de référence décrivant les couleurs de lumière utilisées dans les opérations de pêche et les dispositifs de mitigation.
"
refs_fishery,light_types,"
[EN]
Reference code list describing the main types of artificial light used in fishing operations and mitigation devices.

[FR]
Liste de référence décrivant les principaux types de lumières artificielles utilisées dans les opérations de pêche et les dispositifs de mitigation.
"
refs_fishery,line_material_types,"
[EN]
Reference code list describing the types of materials used for mainlines and branchlines in hook-and-line fishing operations.

[FR]
Liste de référence décrivant les types de matériaux utilisés pour les lignes principales et les bas de ligne dans les opérations de pêche à l’hameçon et à la ligne.
"
refs_fishery,mechanisation_types,"
[EN]
Reference code list describing the mechanisation and propulsion characteristics of vessels and fishing operations.

[FR]
Liste de référence décrivant les caractéristiques de motorisation et de propulsion des navires et des opérations de pêche.
"
refs_fishery,mitigation_devices,
refs_fishery,net_colours,"
[EN]
Reference code list describing colours used for fishing nets and net components.

[FR]
Liste de référence décrivant les couleurs utilisées pour les filets de pêche et leurs composants.
"
refs_fishery,net_conditions,
refs_fishery,net_configurations,"
[EN]
Reference code list describing the geometric configurations of net deployment during fishing operations.

[FR]
Liste de référence décrivant les configurations géométriques de mise à l’eau des filets lors des opérations de pêche.
"
refs_fishery,net_deploy_depths,"
[EN]
Reference code list describing the vertical deployment position of fishing nets in the water column.

[FR]
Liste de référence décrivant la position verticale de déploiement des filets de pêche dans la colonne d’eau.
"
refs_fishery,net_material_types,"
[EN]
Reference code list describing the types of materials used in the construction of fishing nets.

[FR]
Liste de référence décrivant les types de matériaux utilisés dans la construction des filets de pêche.
"
refs_fishery,net_setting_strategies,"
[EN]
Reference code list describing net setting strategies used in fishing operations involving set and drifting nets, including gillnets.

[FR]
Liste de référence décrivant les stratégies de mise à l’eau des filets utilisées dans les opérations de pêche impliquant des filets calés et dérivants, y compris les filets maillants.
"
refs_fishery,offal_management_types,"
[EN]
Reference code list describing methods used for managing and disposing of offal and bait during fishing operations.

[FR]
Liste de référence décrivant les méthodes de gestion et d’élimination des déchets de poisson (offal) et des appâts lors des opérations de pêche.
"
refs_fishery,pole_material_types,"
[EN]
Reference code list describing the materials used in the construction of fishing poles.

[FR]
Liste de référence décrivant les matériaux utilisés pour la fabrication des cannes de pêche.
"
refs_fishery,reasons_days_lost,
refs_fishery,school_detection_methods,
refs_fishery,school_sighting_cues,
refs_fishery,school_type_categories,"
[EN]
Reference code list classifying tuna schools according to their association status for reporting and analytical purposes. Categories are typically derived from more detailed school sighting cues and distinguish between free-swimming (unassociated) and associated schools.

[FR]
Liste de référence classifiant les bancs de thons selon leur statut d’association à des fins de déclaration et d’analyse. Les catégories sont généralement dérivées d’indices d’observation plus détaillés et distinguent les bancs libres (non associés) des bancs associés.
"
refs_fishery,sinker_material_types,"
[EN]
Reference code list describing the materials or weighting devices used as sinkers in fishing gear.

[FR]
Liste de référence décrivant les matériaux ou dispositifs de lestage utilisés comme plombs ou lest dans les engins de pêche.
"
refs_fishery,streamer_types,"
[EN]
Reference code list describing the configuration of streamers used in bird-scaring lines and other mitigation devices during fishing operations.

[FR]
Liste de référence décrivant la configuration des banderoles utilisées sur les lignes d’effarouchement des oiseaux et autres dispositifs de mitigation lors des opérations de pêche.
"
refs_fishery,stunning_methods,
refs_fishery,surface_fishery_activities,
refs_fishery,transhipment_categories,
refs_fishery,vessel_architectures,
refs_fishery,vessel_measurement_types,"
[EN]
Reference code list describing the measurement types used to quantify the size, tonnage, or fish carrying capacity of fishing vessels.

[FR]
Liste de référence décrivant les types de mesures utilisés pour quantifier la taille, le tonnage ou la capacité d’emport de poisson des navires de pêche.
"
refs_fishery,vessel_sections,"
[EN]
Reference code list describing vessel sections used to identify and standardise positions or locations on board fishing vessels.

[FR]
Liste de référence décrivant les sections des navires utilisées pour identifier et standardiser les positions ou emplacements à bord des navires de pêche.
"
refs_fishery,vessel_types,"
[EN]
Reference code list describing fishing vessel types classified according to their primary gear or operational function, based on the FAO CWP International Standard Statistical Classification of Fishery Vessels (ISSCFV).

[FR]
Liste de référence décrivant les types de navires de pêche classés selon leur engin principal ou leur fonction opérationnelle, basée sur la Classification statistique internationale standard des navires de pêche (ISSCFV) du CWP de la FAO.
"
refs_fishery,waste_categories,
refs_fishery,waste_disposal_methods,
refs_fishery,wind_scales,
refs_fishery_config,areas_of_operation,
refs_fishery_config,fishery_categories,"
[EN]
Reference code list describing the main fishery categories used by the IOTC to classify fisheries according to their fishing methods and operational characteristics.

[FR]
Liste de référence décrivant les principales catégories de pêcheries utilisées par la CTOI pour classifier les pêcheries selon leurs méthodes de pêche et leurs caractéristiques opérationnelles.
"
refs_fishery_config,fishery_purposes,"
[EN]
Reference code list describing the primary purpose of fishing activities or operations.

[FR]
Liste de référence décrivant l'objectif principal des activités ou opérations de pêche.
"
refs_fishery_config,fishery_types,"
[EN]
Reference code list describing fishery types based on the scale, purpose, vessel characteristics and area of operation of fishing activities.

[FR]
Liste de référence décrivant les types de pêcheries selon l'échelle, l'objectif, les caractéristiques des navires et la zone d'opération des activités de pêche.
"
refs_fishery_config,fishing_modes,"
[EN]
Reference code list describing fishing modes based on the behavioural or environmental context in which fishing activity occurs, particularly in purse seine and other surface fisheries.

[FR]
Liste de référence décrivant les modes de pêche en fonction du contexte comportemental ou environnemental dans lequel les activités de pêche se déroulent, en particulier pour les senneurs et autres pêcheries de surface.
"
refs_fishery_config,gear_configurations,"
[EN]
Reference code list describing fishing gear configurations and operational characteristics such as depth, hook numbers, or level of mechanisation used in fisheries.

[FR]
Liste de référence décrivant les configurations d’engins de pêche et leurs caractéristiques opérationnelles telles que la profondeur, le nombre d’hameçons ou le niveau de mécanisation utilisées dans les pêcheries.
"
refs_fishery_config,gear_fishery_type_to_configuration,
refs_fishery_config,gear_fishery_type_to_fishing_mode,
refs_fishery_config,gear_groups,"
[EN]
Reference code list describing fishing gear groups used to classify fisheries into standard categories, aligned with IOTC reporting and analytical requirements and mapped to ISSCFG gear groups or constituent gears.

[FR]
Liste de référence décrivant les groupes d’engins de pêche utilisés pour classer les pêcheries en catégories standard, alignées sur les exigences de déclaration et d’analyse de la CTOI et mappées aux groupes d’engins ISSCFG ou à leurs engins constitutifs.
"
refs_fishery_config,gear_to_fishery_type,
refs_fishery_config,gear_to_target_species,
refs_fishery_config,gears,"
[EN]
Reference code list describing fishing gears used in fisheries, aligned with ISSCFG gear definitions under the CWP standard.

[FR]
Liste de référence décrivant les engins de pêche utilisés dans les pêcheries, alignés sur les définitions des engins ISSCFG dans le cadre du standard CWP.
"
refs_fishery_config,loa_classes,"
[EN]
Reference code list describing vessel length overall (LOA) classes used to group vessels into standard size categories within IOTC fisheries.

[FR]
Liste de référence décrivant les classes de longueur hors tout (LOA) des navires utilisées pour regrouper les navires en catégories de taille standard dans les pêcheries de la CTOI.
"
refs_fishery_config,target_species,"
[EN]
Reference code list describing target species or species groups that represent the main fishing target within IOTC fisheries.

[FR]
Liste de référence décrivant les espèces ou groupes d’espèces représentant la cible principale des pêcheries de la CTOI.
"
refs_gis,area_intersections,
refs_gis,area_intersections_iotc,
refs_gis,area_types,
refs_gis,areas,
refs_legacy,areas,
refs_legacy,boat_size_class,
refs_legacy,boat_types,
refs_legacy,catch_units,
refs_legacy,condition_types,
refs_legacy,coverage_types,
refs_legacy,data_processings,
refs_legacy,data_sources,
refs_legacy,data_types,
refs_legacy,effort_units,
refs_legacy,estimation_types,
refs_legacy,fad_activity_types,
refs_legacy,fad_ownerships,
refs_legacy,fad_types,
refs_legacy,fate_types,
refs_legacy,fates,
refs_legacy,fisheries,
refs_legacy,fishery_groups,
refs_legacy,fishery_types,
refs_legacy,fishing_grounds,
refs_legacy,fleets,
refs_legacy,gear_types,
refs_legacy,gears,
refs_legacy,isscfg_gear_groups,
refs_legacy,isscfg_gears,
refs_legacy,iucn_status,
refs_legacy,main_areas,
refs_legacy,measurement_tools,
refs_legacy,measurement_types,
refs_legacy,nocs_codes,
refs_legacy,nocs_names_en,
refs_legacy,nocs_names_fr,
refs_legacy,raisings,
refs_legacy,sampled_catch_types,
refs_legacy,school_types,
refs_legacy,species,
refs_legacy,species_categories,
refs_legacy,species_conditions,
refs_legacy,species_groups,
refs_legacy,species_to_grsf,
refs_legacy,un_locode_ports,
refs_legacy,working_parties,
refs_mappings,irregular_areas,
refs_meta,codelists_versions,
refs_socio_economics,currencies,"
[EN]
Reference code list of currencies based on the ISO 4217 standard, including the alphabetic currency code and currency names in English and French.

[FR]
Liste de référence des monnaies fondée sur la norme ISO 4217, comprenant le code alphabétique de la monnaie ainsi que son nom en anglais et en français.
"
refs_socio_economics,destination_markets,"
[EN]
Reference code list describing the principal destination markets or product categories for fish landed or sold from fishing operations.

[FR]
Liste de référence décrivant les principaux marchés de destination ou catégories de produits pour les captures débarquées ou commercialisées issues des opérations de pêche.
"
refs_socio_economics,mapping_country_currency,
refs_socio_economics,pricing_locations,"
[EN]
Reference code list describing the locations or points in the fish supply chain at which fish prices are recorded or reported.

[FR]
Liste de référence décrivant les lieux ou étapes de la chaîne de commercialisation du poisson où les prix sont observés ou déclarés.
"
refs_socio_economics,product_types,"
[EN]
Reference code list describing fish products and product forms used for processing, marketing, trade, and socio-economic data collection.

[FR]
Liste de référence décrivant les produits halieutiques et leurs formes de présentation utilisés pour la transformation, la commercialisation, le commerce et la collecte de données socio-économiques.
"
