Ros_table,IOTC_Master_table,target_table,target_column,target_column_new_name
ROS_references.CL_INCIDENTAL_CAPTURES_CONDITIONS,refs_biological.INCIDENTAL_CAPTURES_CONDITIONS,ros_common.additional_details_on_non_target_species,condition_at_release_id,condition_at_release_code
Ros_references.CL_LENGTH_MEASUREMENT_TYPES,refs_biological.MEASUREMENTS,ros_common.measured_lengths,measured_length_type_id,measured_length_type_code
ROS_references.CL_LENGTH_MEASURING_TOOLS,refs_biological.MEASUREMENT_TOOLS,ros_common.measured_lengths,length_measuring_tool_id,length_measuring_tool_code
ROS_references.CL_LIGHT_COLOURS,refs_fishery.LIGHT_COLOURS,ros_ll.lights_by_type_and_colour,light_colour_id,light_colour_code
ROS_references.CL_LIGHT_TYPES,refs_fishery.LIGHT_TYPES,ros_ll.lights_by_type_and_colour,light_type_id,light_type_code
ROS_references.CL_LINE_MATERIAL_TYPES,refs_fishery.LINE_MATERIAL_TYPES,ros_ll.branchline_sections,branchline_material_type_id,branchline_material_type_code
ROS_references.CL_LINE_MATERIAL_TYPES,refs_fishery.LINE_MATERIAL_TYPES,ros_ll.ll_additional_catch_details_on_ssi,leader_material_type_id,leader_material_type_code
ROS_references.CL_LINE_MATERIAL_TYPES,refs_fishery.LINE_MATERIAL_TYPES,ros_ll.ll_general_gear_attributes,line_material_type_id,line_material_type_code
ROS_references.CL_MITIGATION_DEVICES,refs_fishery.MITIGATION_DEVICES,ros_gn.gn_mitigation_measures_mitigation_devices,mitigation_device_id,mitigation_device_code
ROS_references.CL_MITIGATION_DEVICES,refs_fishery.MITIGATION_DEVICES,ros_ll.ll_mitigation_measures_mitigation_devices,mitigation_device_id,mitigation_device_code
ROS_references.CL_MITIGATION_DEVICES,refs_fishery.MITIGATION_DEVICES,ros_ll.ll_gear_specifications_mitigation_device,mitigation_device_id,mitigation_device_code
ROS_references.CL_NET_COLOURS,refs_fishery.NET_COLOURS,ros_gn.gn_gillnet_configuration_net_web_colours,net_colour_id,net_colour_code
ROS_references.CL_NET_CONDITIONS,refs_fishery.NET_CONDITIONS,ros_gn.gn_hauling_operations,net_condition_id,net_condition_code
ROS_references.CL_NET_CONFIGURATIONS,refs_fishery.NET_CONFIGURATIONS,ros_gn.gn_setting_operations,net_configuration_id,net_configuration_code
Ros_references.CL_NET_DEPLOY_DEPTHS,refs_fishery.NET_DEPLOY_DEPTHS,ros_gn.gn_setting_operations,net_deploy_depth_id,net_deploy_depth_code
ROS_references.CL_NET_SETTING_STRATEGIES,refs_fishery.NET_SETTING_STRATEGIES,ros_gn.gn_setting_operations,net_setting_strategy_id,net_setting_strategy_code
Ros_references.CL_PORTS,refs_admin.PORTS,ros_common.carrier_vessel_identification,vessel_registration_port_id,vessel_registration_port_code
Ros_references.CL_PORTS,refs_admin.PORTS,ros_common.vessel_identification,port_id,port_code
Ros_references.CL_PORTS,refs_admin.PORTS,ros_common.vessel_trip_details,departure_port_id,departure_port_code
Ros_references.CL_PORTS,refs_admin.PORTS,ros_common.vessel_trip_details,return_port_id,return_port_code
Ros_references.CL_PROCESSING_TYPES,refs_fishery.FISH_PROCESSING_TYPES,ros_common.species_by_product_type,processing_type_id,processing_type_code
Ros_references.CL_PROCESSING_TYPES,refs_fishery.FISH_PROCESSING_TYPES,ros_common.estimated_weights,processing_type_id,processing_type_code
Ros_references.CL_PROCESSING_TYPES,refs_fishery.FISH_PROCESSING_TYPES,ros_common.measured_weights,processing_type_id,processing_type_code
ROS_references.CL_SAMPLING_PROTOCOLS,refs_biological.SAMPLING_PROTOCOLS,ros_ll.ll_hauling_operations,sampling_protocol_id,sampling_protocol_code
ROS_references.CL_SAMPLING_PROTOCOLS,refs_biological.SAMPLING_PROTOCOLS,ros_pl.pl_tuna_fishing_operations,sampling_protocol_id,sampling_protocol_code
ROS_references.CL_SAMPLING_PROTOCOLS,refs_biological.SAMPLING_PROTOCOLS,ros_pl.bait_fishing_operations,sampling_protocol_id,sampling_protocol_code
ROS_references.CL_SAMPLING_PROTOCOLS,refs_biological.SAMPLING_PROTOCOLS,ros_gn.gn_hauling_operations,sampling_protocol_id,sampling_protocol_code
ROS_references.CL_SCARS,refs_biological.SCARS,ros_common.depredation_details,depredation_source_id,depredation_source_code
ROS_references.CL_SCHOOL_DETECTION_METHODS,refs_fishery.SCHOOL_DETECTION_METHODS,ros_ps.ps_setting_operations,first_school_detection_method_id,first_school_detection_method_code
Ros_references.CL_SCHOOL_SIGHTING_CUES,refs_fishery.SCHOOL_SIGHTING_CUES,ros_pl.bait_fishing_operations_cl_school_sighting_cues,school_sighting_cue_id,school_sighting_cue_code
Ros_references.CL_SCHOOL_SIGHTING_CUES,refs_fishery.SCHOOL_SIGHTING_CUES,ros_ps.ps_setting_operations_cl_school_sighting_cues,school_sighting_cue_id,school_sighting_cue_code
Ros_references.CL_SCHOOL_SIGHTING_CUES,refs_fishery.SCHOOL_SIGHTING_CUES,ros_pl.pl_tuna_fishing_operations_cl_school_sighting_cues,school_sighting_cue_id,school_sighting_cue_code
Ros_references.CL_SEXES,refs_biological.SEX,ros_common.biometric_information,sex_id,sex_code
ROS_references.CL_SINKER_MATERIAL_TYPES,refs_fishery.SINKER_MATERIAL_TYPES,ros_gn.sinkers_by_type,sinker_material_type_id,sinker_material_type_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_common.depredation_details,predator_observed_id,predator_observed_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_pl.pl_catch_details,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_ps.ps_catch_details,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_pl.pl_tuna_fishing_operations_target_species,target_species_id,target_species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_gn.gn_catch_details,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_ll.ll_setting_operations_target_species,target_species_id,target_species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_common.vessel_identification_licensed_target_species,licensed_target_species_id,licensed_target_species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_ll.ll_catch_details,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_ps.cetaceans_whale_shark_sightings,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_common.species_by_product_type,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_pl.baits_and_conditions,species_id,species_code
Ros_references.CL_SPECIES,refs_biological.SPECIES,ros_ll.baits_by_conditions,species_id,species_code
Ros_references.CL_STUNNING_METHODS,refs_fishery.STUNNING_METHODS,ros_ll.ll_hauling_operations_stunning_methods,stunning_method_id,stunning_method_code
ROS_references.CL_TAG_TYPES,refs_biological.TAG_TYPES,ros_pl.pl_tag_details,tag_type_id,tag_type_code
ROS_references.CL_TAG_TYPES,refs_biological.TAG_TYPES,ros_ps.ps_tag_details,tag_type_id,tag_type_code
ROS_references.CL_TAG_TYPES,refs_biological.TAG_TYPES,ros_gn.gn_tag_details,tag_type_id,tag_type_code
ROS_references.CL_TAG_TYPES,refs_biological.TAG_TYPES,ros_ll.ll_tag_details,tag_type_id,tag_type_code
ROS_references.CL_WASTE_CATEGORIES,refs_fishery.WASTE_CATEGORIES,ros_common.waste_managements,waste_category_id,waste_category_code
ROS_references.CL_WEIGHT_ESTIMATION_METHODS,refs_biological.MEASUREMENT_TOOLS,ros_common.estimated_weights,weight_estimation_method_id,weight_estimation_method_code
Ros_references.CL_WIND_SCALES,refs_fishery.WIND_SCALES,ros_ps.ps_setting_operations,wind_scale_id,wind_scale_code
Ros_references.CL_WIND_SCALES,refs_fishery.WIND_SCALES,ros_pl.pl_tuna_fishing_operations,wind_scale_id,wind_scale_code
Ros_references.CL_WIND_SCALES,refs_fishery.WIND_SCALES,ros_pl.bait_fishing_operations,wind_scale_id,wind_scale_code
